N,P,K,temperature,humidity,ph,rainfall,label
0.514285714,0.396676442,0.294757792,20.87974371,82.00274423,6.502985292000001,202.9355362,rice
0.461956522,0.480249882,0.286532739,21.77046169,80.31964408,7.038096361,226.6555374,rice
0.377358491,0.450803195,0.294658862,23.00445915,82.3207629,7.840207144,263.9642476,rice
0.496644295,0.344857837,0.272759274,26.49109635,80.15836264,6.980400905,242.8640342,rice
0.481481481,0.403341299,0.292204307,20.13017482,81.60487287,7.628472891,262.7173405,rice
0.466216216,0.362538775,0.282965161,23.05804872,83.37011772,7.073453503,251.0549998,rice
0.425925926,0.47533102,0.265088688,22.70883798,82.63941394,5.70080568,271.3248604,rice
0.502673797,0.467876551,0.279384569,20.27774362,82.89408619,5.718627177999999,241.9741949,rice
0.491712707,0.463456137,0.260182914,24.51588066,83.53521629999999,6.685346424,230.4462359,rice
0.414634146,0.486479339,0.263418393,23.22397386,83.03322691,6.336253525,221.2091958,rice
0.494565217,0.443413586,0.27037116,26.52723513,81.41753846,5.386167788,264.6148697,rice
0.505617978,0.410791374,0.284881737,23.97898217,81.45061596,7.50283396,250.0832336,rice
0.433333333,0.450307776,0.290069769,26.80079604,80.88684822,5.108681786,284.4364567,rice
0.502702703,0.482696302,0.253392917,24.01497622,82.05687182,6.98435366,185.2773389,rice
0.519337017,0.443790191,0.258146074,25.66585205,80.66385045,6.94801983,209.5869708,rice
0.408163265,0.431336239,0.271621129,24.28209415,80.30025587,7.0422990689999985,231.0863347,rice
0.518292683,0.377781975,0.282028287,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice
0.551515152,0.357895462,0.27232336,23.79391957,80.41817957,6.970859754,206.2611855,rice
0.509933775,0.396389714,0.260760814,21.8652524,80.1923008,5.953933276,224.55501690000003,rice
0.539877301,0.355043621,0.271799991,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
0.523529412,0.439775047,0.261248554,21.32504158,80.47476396,6.442475375,185.4974732,rice
0.477987421,0.369831186,0.284251307,25.15745531,83.11713476,5.070175667,231.3843163,rice
0.401197605,0.483814092,0.284877502,21.94766735,80.97384195,6.012632591,213.3560921,rice
0.497005988,0.390280918,0.293053413,21.0525355,82.67839517,6.254028451,233.1075816,rice
0.538461538,0.437275144,0.260900596,23.48381344,81.33265073,7.375482851,224.0581164,rice
0.4125,0.445095252,0.279673481,25.0756354,80.52389148,7.778915154,257.0038865,rice
0.487437186,0.459647358,0.280306864,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice
0.515957447,0.432790917,0.280679247,24.52922681,80.54498576,7.070959995,260.2634026,rice
0.392156863,0.430671695,0.294760948,20.77576147,84.49774397,6.244841491,240.0810647,rice
0.494117647,0.470907282,0.253722951,22.30157427,80.64416466,6.043304899,197.9791215,rice
0.426900585,0.477200932,0.278172988,21.44653958,84.94375962,5.824709117,272.2017204,rice
0.550898204,0.360158935,0.280680893,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice
0.527950311,0.368057256,0.266639879,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice
0.518518519,0.476331381,0.271610884,20.26707606,81.63895217,5.01450727,270.4417274,rice
0.47311828,0.436415021,0.286424597,25.7354293,83.88266234,6.149410611,233.1321372,rice
0.494791667,0.444281669,0.278249944,26.79533926,82.1480873,5.950660556,193.3473987,rice
0.518324607,0.479969518,0.24486675,26.75754171,81.17734011,5.960370061,272.29990560000005,rice
0.558823529,0.394484082,0.251720417,23.86330467,83.15250801,5.561398642,285.2493645,rice
0.408163265,0.398076469,0.297354228,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice
0.425675676,0.403030096,0.275349357,24.17298839,83.7287574,5.583370042,257.0343554,rice
0.442857143,0.416743821,0.255593723,22.78133816,82.06719137,6.430010215,248.7183228,rice
0.421052632,0.396022871,0.282600564,25.62980105,83.52842314,5.534878156,209.9001977,rice
0.463687151,0.493433026,0.253982334,25.59704938,80.14509262,6.903985986,200.834898,rice
0.50617284,0.385242608,0.269098824,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
0.467032967,0.421689246,0.292815203,26.31355498,82.36698992,7.224285503,265.5355937,rice
0.554878049,0.357517586,0.264950266,24.8972823,80.52586088,6.13428721,183.6793207,rice
0.45508982,0.422563953,0.277340466,24.958779,84.47963372,5.206373153,196.95600080000003,rice
0.490066225,0.389061836,0.26057175,23.24113501,84.59201843,7.782051312999999,233.0453455,rice
0.49068323,0.414792532,0.275860335,21.66628296,80.70960551,7.062779015,210.8142087,rice
0.468085106,0.441286974,0.299901875,24.63544858,80.41363018,7.730367824,253.7202781,rice
0.431654676,0.351455352,0.287636346,23.43121862,83.06310136,5.286203711000001,219.9048349,rice
0.434285714,0.504009335,0.279784152,20.0454142,80.3477562,6.766240045,208.5810155,rice
0.486910995,0.459554146,0.283624781,23.85724032,82.22572988,7.382762603,195.0948311,rice
0.386904762,0.480107567,0.29277358,21.97199397,81.89918197,5.658169482000001,227.3637009,rice
0.519125683,0.455225232,0.246464894,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
0.493421053,0.378309833,0.26487315,23.44676801,84.79352417,6.215109715,283.9338466,rice
0.445783133,0.458966934,0.258282464,25.65553461,83.47021081,7.120272972,217.3788583,rice
0.529069767,0.341415217,0.29625186,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice
0.452229299,0.43281818,0.280891507,20.2801937,82.1235421,7.236705436,191.9535738,rice
0.523809524,0.492285302,0.255543802,21.7238313,80.2389895,6.501697816,277.9626192,rice
0.48,0.406444295,0.270227033,20.41447029,82.20802629,7.592490617,245.1511304,rice
0.446236559,0.450466942,0.29168965,25.75528612,83.51827127,5.875345751,245.6626799,rice
0.492063492,0.497362204,0.266875167,20.61521424,83.77345559,6.932400225,279.5451717,rice
0.472972973,0.360573063,0.29051684,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice
0.460606061,0.43086182,0.288908307,20.08369642,83.29114712,5.739175027000001,263.6372176,rice
0.5625,0.404108021,0.251385453,24.45802087,82.74835604,6.738652179,182.5616319,rice
0.521052632,0.48152601,0.267189483,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice
0.477777778,0.492540081,0.244929186,25.78720567,82.11124033,6.946636369,243.5120414,rice
0.442307692,0.415758144,0.282900604,23.64124821,80.28597873,5.012139669,263.1103304,rice
0.494565217,0.480967777,0.262409868,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
0.396103896,0.440765017,0.273573165,24.97669518,83.891805,6.880431223,204.8001847,rice
0.446666667,0.425620821,0.265922832,22.72791041,82.17068809999998,7.300410836,260.8875056,rice
0.5,0.404339886,0.255678069,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
0.478527607,0.404425113,0.287028431,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
0.454545455,0.464337765,0.245124995,26.29465461,84.56919326,7.023936392,257.4914906,rice
0.54494382,0.34874023,0.301836316,22.2286982,81.85872947,6.939083505,278.0791793,rice
0.424050633,0.399216096,0.288493014,26.73072391,81.78596776,7.868474653,280.4044392,rice
0.5,0.357547061,0.262306882,24.88921174,81.97927117,5.005306977,185.9461429,rice
0.513333333,0.360416466,0.254567095,26.88444878,81.46033732,6.136131869,194.5766559,rice
0.50625,0.403231909,0.263144765,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
0.404761905,0.452062791,0.287686077,26.08867875,80.37979919,5.706943251,182.9043504,rice
0.473684211,0.426824395,0.244112357,25.42977518,82.94682591,5.758506323,195.3574542,rice
0.388535032,0.432995101,0.285791027,26.40323239,81.05635517,6.349606327,223.3671883,rice
0.44966443,0.397987038,0.259977831,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
0.408536585,0.47431067,0.269287826,25.2827223,80.54372813,5.453592032,220.1156708,rice
0.402439024,0.499642898,0.264704788,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
0.503067485,0.412326958,0.266256747,23.28617173,81.43321641,5.105588355,242.3170629,rice
0.471910112,0.418459347,0.291598796,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
0.460227273,0.446595014,0.28627623,23.67575393,81.03569343,5.17782304,233.7034975,rice
0.502762431,0.451162673,0.275940171,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
0.505434783,0.449419335,0.258777913,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
0.523255814,0.415741111,0.260775938,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
0.50310559,0.422421264,0.247085446,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
0.5,0.382905992,0.256201579,26.46428311,83.85642678,7.549873681,248.2256491,rice
0.408163265,0.464918787,0.254403537,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
0.5,0.415600596,0.283502631,22.68319059,83.46358271,6.604993475,194.2651719,rice
0.525423729,0.445356368,0.26302039,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
0.375,0.453015469,0.300524963,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
0.496815287,0.331616882,0.283474073,26.54348085,84.67353597,7.072655622,183.6222657,rice
0.457746479,0.368676252,0.272193692,23.35905428,83.59512273,5.333322606,188.413665,rice
0.503546099,0.583067717,0.156396155,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
0.5,0.505165407,0.1482451,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
0.575539568,0.520840772,0.143946594,23.55882094,71.59351368,6.657964753,66.71995467,maize
0.480263158,0.586023385,0.212863247,19.97215954,57.68272924,6.596060648,60.65171481,maize
0.512605042,0.496868989,0.197679341,18.47891261,62.69503871,5.970458434,65.43835393,maize
0.544,0.520457184,0.167389756,21.77689322,57.80840636,6.158830619,102.0861694,maize
0.61589404,0.490303255,0.155783406,25.6217169,66.50415474,6.047906679,105.4654703,maize
0.529761905,0.57586037,0.171352999,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
0.554744526,0.540428793,0.170049179,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
0.440789474,0.545843474,0.214210014,24.92162194,66.78627406,5.750254943,109.2162279,maize
0.526315789,0.509749591,0.16411703,23.31689124,73.4541537,5.852607099,94.29712821,maize
0.5625,0.516658726,0.183890131,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
0.476923077,0.57601602,0.164752405,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize
0.605263158,0.557826908,0.158973547,18.87751445,65.76816093,6.082973754,94.76189431,maize
0.468085106,0.538975479,0.197386498,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
0.440559441,0.590306434,0.230279064,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
0.52238806,0.530396745,0.151746211,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
0.512605042,0.493131868,0.158281012,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
0.47826087,0.557346305,0.185892849,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
0.5,0.597499168,0.190106446,18.05033737,62.89366992,6.28886807,84.23613484,maize
0.496774194,0.553762799,0.175385101,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
0.603658537,0.601343879,0.14389655,18.14710054,71.09445342,5.573286437,88.07753741,maize
0.486842105,0.58161501,0.205716775,18.28362235,66.65952796,6.829199275,80.97573281,maize
0.55704698,0.53045117,0.213015738,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
0.609756098,0.535003983,0.14686867,25.71895816,67.22190688,5.54990242,74.51490791,maize
0.54109589,0.552318792,0.145671282,25.33797709,68.49835977,6.586244581,96.46380213,maize
0.622516556,0.482129406,0.181124961,23.89114571,57.48775781,5.893093135,102.8301942,maize
0.539568345,0.572859945,0.138831298,21.53574127,71.50905983,5.918263801,102.4852929,maize
0.527027027,0.515631425,0.203337799,23.08974909,63.10459626,5.588650585,70.43473609,maize
0.540372671,0.542075751,0.183337804,25.61707368,63.4711755,6.576418207000001,108.8303762,maize
0.591836735,0.429736439,0.228086739,21.44526922,63.1621551,6.178056304,65.88951188,maize
0.504,0.534040965,0.204192504,18.51816776,55.53128131,6.641906353,90.988051,maize
0.506024096,0.54527137,0.216398356,22.53510514,67.99257471,6.489040367,64.40866039,maize
0.524590164,0.431990057,0.213130501,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
0.46875,0.495189949,0.195541939,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
0.601226994,0.484732303,0.173753514,25.77175115,74.089114,6.524478032,107.4931917,maize
0.503355705,0.599581252,0.180440231,19.39851734,62.35750641,5.696205468,60.95197486,maize
0.530864198,0.563862201,0.205516043,21.54156232,59.64024162,6.803931519,109.7515385,maize
0.649006623,0.455744235,0.154338722,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
0.503311258,0.606510263,0.161425884,18.9802729,74.52600826,6.092725883,94.26249353,maize
0.575581395,0.576673998,0.148809895,24.10859207,73.13112261,6.234330356,71.07562236,maize
0.472440945,0.479330466,0.195179449,24.7947077,70.04556743,5.722579819,76.72860067,maize
0.532374101,0.554070163,0.171874652,21.63162756,60.27766379,6.430616465,69.21803098,maize
0.536144578,0.586077795,0.170707166,25.37548751,57.21025565,5.983952675,101.7004306,maize
0.482517483,0.530049756,0.194796378,22.21738222,72.85462807,6.80163854,106.6213157,maize
0.585365854,0.519286175,0.19716013,20.58314011,69.00128641,6.499936446,66.29390357,maize
0.448529412,0.600750769,0.138099279,24.87502824,68.74248334,6.265564338,91.26056654,maize
0.493333333,0.603932126,0.1906914,20.03728219,56.35606753,6.727303282,109.024141,maize
0.528571429,0.467632071,0.207499848,25.95263264,61.89082199,6.325235159,99.57981207,maize
0.512195122,0.542320556,0.167060721,19.28889933,65.47050802,6.807487794,71.3195307,maize
0.638709677,0.470097743,0.188811667,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
0.566176471,0.430034697,0.220204342,24.71417533,56.73426469,6.648725327,88.45361858,maize
0.511764706,0.580983421,0.214580284,20.27317074,63.91281869,6.439071996,62.50351892,maize
0.52173913,0.517574869,0.170588304,18.41932981,64.23580251,6.474476516,76.41312437,maize
0.56969697,0.572086732,0.166445468,23.39128187,61.74427165,5.871647806,107.3198135,maize
0.612903226,0.47589591,0.213396665,19.84939404,61.24500053,5.730617109,100.7689246,maize
0.563758389,0.506508205,0.200420456,21.869274,61.91044947,5.850439831,107.2681929,maize
0.5,0.581129697,0.193259726,22.8056033,56.50768935,5.791649933,101.5952794,maize
0.507692308,0.529621826,0.185011937,19.0781471,69.02298571,6.740000687999999,80.72515943,maize
0.552631579,0.479273412,0.154764759,22.02720976,65.35549924,6.272417541,83.73280082,maize
0.548611111,0.506725589,0.194078958,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize
0.458598726,0.57956955,0.222118111,18.52510753,69.0276233,5.773454729,88.10234397,maize
0.471830986,0.51775084,0.220541128,23.50297882,61.32026065,5.584171461,64.77791424,maize
0.589041096,0.415945195,0.194423707,26.54986394,72.89187265,5.787268394,73.33636055,maize
0.535211268,0.562748615,0.168333722,19.29563411,69.63481219,5.77597783,83.21030571,maize
0.51369863,0.578040992,0.183436625,20.68899915,59.4375337,6.864793607,103.651438,maize
0.543624161,0.515306546,0.208406665,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
0.525179856,0.496659566,0.176183354,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
0.546153846,0.430643422,0.226852389,22.27373646,59.52193158,5.826426917,67.96704792,maize
0.558139535,0.530963182,0.201767351,25.70196694,61.33450447,6.960358276,83.20711308,maize
0.634615385,0.511802335,0.170604659,19.20129357,68.30578978,6.11275104,87.85092352,maize
0.476923077,0.535106233,0.195739687,21.70181447,60.47470519,6.708446922,95.71388473,maize
0.618705036,0.503283806,0.167137572,20.51716779,59.21235483,5.561510732,67.61013737,maize
0.576687117,0.541690955,0.163893364,23.30355338,73.62548442,5.873242491,97.59081274,maize
0.54676259,0.446967096,0.230987238,24.2547451,55.64709899,6.995843776,64.23845455,maize
0.52739726,0.553994491,0.157984117,24.86374934,65.7420046,5.714799723,75.82270467,maize
0.544117647,0.46084849,0.206460897,22.6265115,65.77472881,6.78073637,88.17251033,maize
0.54,0.56294756,0.202722979,18.04185513,60.61494304,5.513697923,104.2321615,maize
0.5,0.486886658,0.180112754,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
0.626582278,0.46407504,0.181848831,22.88330922,71.59722446,6.352471866,67.72777298,maize
0.538922156,0.504977801,0.207747001,25.97482359,69.36385721,6.822586546,103.2234212,maize
0.535433071,0.469793234,0.170633845,26.14384005,66.20569924,6.655426355,107.2361366,maize
0.425531915,0.571937942,0.230294393,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize
0.503546099,0.546747578,0.181661839,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
0.445255474,0.593929161,0.170709722,23.33844615,59.24580604,6.47444292,105.0083144,maize
0.624113475,0.486665386,0.141503619,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
0.442176871,0.558827367,0.183504253,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
0.569343066,0.438689206,0.198806814,25.34217103,63.31801994,6.330554389,74.52082026,maize
0.516556291,0.591780373,0.139113142,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
0.525714286,0.590159287,0.20320904,18.66746724,71.516474,5.721667141,69.93293255,maize
0.509677419,0.61216022,0.168119588,20.37999665,63.73849998,6.644205485,108.5054416,maize
0.565217391,0.62434017,0.141906714,18.09300227,72.61024172,6.376651091,78.96159541,maize
0.524137931,0.53588395,0.154995605,26.16985907,71.96246617,6.247040422,79.84925393,maize
0.54375,0.523708921,0.238020968,18.65396672,61.37879671,6.656730007999999,93.62039175,maize
0.464052288,0.555171556,0.204753678,26.07470121,59.37147589,6.2048017,85.75692395,maize
0.526315789,0.570407732,0.207380355,18.92851916,72.80086137,6.158860284,82.34162918,maize
0.540322581,0.435835829,0.202667943,23.30546753,63.24648023,6.3856842139999985,108.7603001,maize
0.45112782,0.588566975,0.189531759,18.74826712,62.49878458,6.417820493,70.23401597,maize
0.506097561,0.575727336,0.224598925,19.74213321,59.66263104,6.381201909,65.50861389,maize
0.522012579,0.560304247,0.164533737,25.73044432,70.74739256,6.877869005,98.73771338,maize
0.211640212,0.433669668,0.693608734,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
0.12849162,0.411380116,0.699113268,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
0.214285714,0.360499756,0.718550754,17.88776475,15.40589717,5.9969320370000005,68.54932919,chickpea
0.122905028,0.409397826,0.711141461,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
0.2,0.412639008,0.66995358,18.36952567,19.56381041,7.152811172000001,79.26357665,chickpea
0.172043011,0.418456126,0.69317323,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea
0.273584906,0.400791689,0.692711927,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea
0.276995305,0.408556652,0.69950954,17.3348681,18.74926979,7.550808267000001,82.61734721,chickpea
0.234636872,0.399538282,0.669144632,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
0.153005464,0.42771421,0.69040522,18.01272266,18.30968112,8.753795334,81.98568791,chickpea
0.285714286,0.397605366,0.662038324,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
0.228723404,0.40130768,0.6948859,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
0.287128713,0.384583817,0.70123132,19.81344531,14.69765308,6.5154995489999985,78.96514709,chickpea
0.135294118,0.373551927,0.688312786,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
0.162650602,0.394408633,0.700585461,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
0.152173913,0.412065197,0.689023827,18.72963144,19.18197264,6.481783042999999,71.58010169,chickpea
0.274725275,0.366024982,0.650377829,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
0.201030928,0.405062577,0.696073501,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
0.139664804,0.45486241,0.695738994,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
0.174157303,0.416944166,0.686205248,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
0.137566138,0.444234703,0.714097402,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea
0.147058824,0.411888044,0.686236577,20.09340593,15.11279612,7.701446446,85.74904898,chickpea
0.167567568,0.454619313,0.700000208,17.57212145,14.99927489,8.519975748,89.31050665,chickpea
0.28436019,0.399716314,0.68848009,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
0.289215686,0.379027181,0.687104628,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
0.131736527,0.413156726,0.711739621,17.16606398,14.42457525,6.204090835,72.32667516,chickpea
0.198895028,0.398071617,0.695855383,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
0.290640394,0.368029853,0.690235987,19.03025305,18.66725565,7.690962337999999,94.70992037,chickpea
0.25,0.429826951,0.713038771,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,chickpea
0.223958333,0.408462148,0.69581272,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
0.150537634,0.425612894,0.701910215,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
0.203883495,0.435924957,0.720067158,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
0.182857143,0.368796345,0.679583271,19.69141713,19.44225438,8.829273328,91.76071648,chickpea
0.125,0.453888119,0.672922213,17.84851658,19.09172907,8.621662982,76.32470713,chickpea
0.167567568,0.457122423,0.68226659,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
0.167664671,0.370666217,0.704236629,17.47500984,16.54314829,6.18042747,93.35034262,chickpea
0.296875,0.377293454,0.679548327,18.72649425,17.58406365,7.978996755,81.20176515,chickpea
0.269230769,0.362663344,0.69128389,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
0.231155779,0.443832747,0.670025145,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
0.28125,0.389000888,0.693517731,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
0.218390805,0.387971484,0.675801454,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
0.305699482,0.356293297,0.679494215,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
0.192513369,0.448692053,0.681698853,18.38120357,16.63805158,8.736337905,70.52056697,chickpea
0.276699029,0.409219164,0.701452334,17.17012591,17.30457712,8.081095263,72.78624223,chickpea
0.192307692,0.396703726,0.697400549,19.37101121,15.77458129,6.138243973,85.24819851,chickpea
0.197740113,0.400178932,0.707792822,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
0.272251309,0.378660226,0.67701728,19.45339934,18.23490739,8.380185271,75.6317566,chickpea
0.14516129,0.426658777,0.709094383,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
0.28358209,0.367864738,0.697875703,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
0.262626263,0.415940197,0.693667857,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
0.213930348,0.445302438,0.672982924,19.40751744,18.98030507,7.8067476560000015,80.25064637,chickpea
0.216748768,0.412977553,0.680960458,20.18649426,19.63719995,7.150681303,78.26039559,chickpea
0.152866242,0.365927788,0.706157542,17.30287885,15.15405941,6.64919573,75.57790384,chickpea
0.160220994,0.454267608,0.694544491,17.50361137,15.48083156,7.778591617999999,72.9446671,chickpea
0.126582278,0.384190928,0.703506286,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
0.278606965,0.412118863,0.694613139,17.57445618,16.71826572,8.255450758,77.81891424,chickpea
0.196808511,0.383873246,0.680845847,20.93175255,18.91295403,6.456148474,78.06910795,chickpea
0.25,0.425886757,0.67049095,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
0.283653846,0.410520323,0.684070994,19.07937684,17.86754927,8.165359297,69.40619137,chickpea
0.113636364,0.452592675,0.690116817,18.54988627,16.02542689,7.64867466,76.32565249,chickpea
0.145454545,0.351760923,0.704737011,18.19903647,17.41333199,6.545888558,80.6405403,chickpea
0.257575758,0.434026403,0.68881253,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,chickpea
0.265116279,0.413613875,0.719033374,18.49311205,14.72115044,7.358099622,91.94595352,chickpea
0.130952381,0.386730916,0.691036393,19.48974337,17.17260319,6.4740245000000005,87.51312796,chickpea
0.254901961,0.431295014,0.686913906,17.25769499,18.74943955,7.840339388999999,94.00287214,chickpea
0.162011173,0.442153987,0.66173165,19.62416326,18.71483156,7.064790365,88.4585692,chickpea
0.243093923,0.374186783,0.658065944,20.67526473,19.85388984,7.599033472,84.78344008,chickpea
0.213541667,0.403452584,0.691068932,20.02381489,16.63294455,6.715587232000001,68.97806542,chickpea
0.269430052,0.347569739,0.710934003,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
0.178947368,0.430212419,0.686679697,20.65691793,15.84572566,7.985417393,65.23811143,chickpea
0.211055276,0.41983849,0.712209918,19.2582557,14.2804191,7.545258424,65.78042032,chickpea
0.184782609,0.422800736,0.700453748,17.927806,15.85622899,7.728998197,74.63872762,chickpea
0.150837989,0.426494336,0.692995287,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
0.167597765,0.413541908,0.662533734,20.26942271,19.96978871,7.313122235,69.64449182,chickpea
0.301587302,0.382316732,0.679702066,17.09104223,18.25142068,7.785039076,87.27444866,chickpea
0.143617021,0.443656239,0.703222616,17.06579293,17.54024066,6.307004922999999,70.87150577,chickpea
0.170212766,0.401975512,0.707933565,20.62767492,14.44008871,6.4039823160000005,92.06630306,chickpea
0.164021164,0.424996873,0.679508741,20.8248451,17.85057083,7.599279991,79.20509212,chickpea
0.171875,0.420257289,0.68745158,19.46210401,18.72831993,7.217018459,68.81405149,chickpea
0.230392157,0.459288433,0.696130766,17.18248372,16.42891834,7.561108006,72.85017344,chickpea
0.275510204,0.388741258,0.702495883,17.48911699,16.39055394,7.489545074,79.45758333,chickpea
0.230392157,0.452763697,0.707520862,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
0.2,0.357404488,0.692078948,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
0.261083744,0.430136425,0.670671798,19.71359733,18.09665739,7.325451279,73.64476535,chickpea
0.244565217,0.384890844,0.686928753,19.48649305,16.06240074,6.489389282,81.52842690000001,chickpea
0.190721649,0.440795889,0.694328605,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
0.161290323,0.427550445,0.690992917,19.41789736,16.80472243,6.4084378860000015,68.4951189,chickpea
0.212643678,0.351536717,0.686317226,19.45591848,18.02235902,8.423873703,78.44910564,chickpea
0.273195876,0.403247376,0.674887505,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
0.131736527,0.366212523,0.716815595,18.8392908,14.74071856,7.811997977000001,94.78189594,chickpea
0.301507538,0.381937026,0.657957858,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
0.225806452,0.411057459,0.687926649,18.99424448,15.9362937,7.114405288,78.69707199,chickpea
0.204188482,0.441941724,0.681360025,19.96837462,15.57324389,8.135900726000001,69.15759062,chickpea
0.201149425,0.401745628,0.68208409,17.81564548,17.60756635,7.714153037999999,90.82097601,chickpea
