time,cloudBase,cloudCeiling,cloudCover,dewPoint,evapotranspiration,freezingRainIntensity,humidity,iceAccumulation,iceAccumulationLwe,precipitationProbability,pressureSurfaceLevel,rainAccumulation,rainAccumulationLwe,rainIntensity,sleetAccumulation,sleetAccumulationLwe,sleetIntensity,snowAccumulation,snowAccumulationLwe,snowDepth,snowIntensity,temperature,temperatureApparent,uvHealthConcern,uvIndex,visibility,weatherCode,windDirection,windGust,windSpeed
2024-02-21T20:00:00Z,0.54,0.54,85,16.63,0.48,0,77,0,0,0,998.17,0,0,0,0,0,0,0,0,0,0,20.81,20.81,2,5,16,1001,183.5,10.88,5.88
2024-02-21T21:00:00Z,0.57,0.57,100,17.38,0.454,0,76,0,0,0,997.39,0,0,0,0,0,0,0,0,0,0,21.88,21.88,1,3,16,1001,180.38,11.5,5.63
2024-02-21T22:00:00Z,0.85,,12,16.5,0.382,0,66,0,0,0,996.28,0,0,0,0,0,0,0,0,0,0,23.19,23.19,0,1,16,1100,181.5,12,5.81
2024-02-21T23:00:00Z,,,2,16.19,0.267,0,60,0,0,0,995.09,0,0,0,0,0,0,0,0,0,0,24.38,24.38,0,0,16,1000,174.31,10.63,5.19
2024-02-22T00:00:00Z,,,2,15.88,0.147,0,62,0,0,0,994.79,0,0,0,0,0,0,0,0,0,0,23.63,23.63,0,0,16,1000,163.13,10.69,4.31
2024-02-22T01:00:00Z,,,0,15.19,0.083,0,67,0,0,0,994.52,0,0,0,0,0,0,0,0,0,0,21.69,21.69,0,0,16,1000,163.31,11.19,5.19
2024-02-22T02:00:00Z,,,0,14.31,0.07,0,69,0,0,0,994.67,0,0,0,0,0,0,0,0,0,0,20.19,20.19,0,0,16,1000,166.81,12.19,5.69
2024-02-22T03:00:00Z,,,0,15.31,0.049,0,72,0,0,0,993.93,0,0,0,0,0,0,0,0,0,0,20.38,20.38,0,0,16,1000,129.69,15.5,6.63
2024-02-22T04:00:00Z,0.36,,10,15.81,0.035,0,84,0,0,0,994.31,0,0,0,0,0,0,0,0,0,0,18.63,18.63,0,0,15.99,1000,169.31,12.81,3.31
2024-02-22T05:00:00Z,0.32,0.32,100,15.88,0.025,0,85,0,0,0,994.59,0,0,0,0,0,0,0,0,0,0,18.38,18.38,0,0,15.23,1001,169.81,14.19,3.19
2024-02-22T06:00:00Z,0.3,0.3,95,16.31,0.022,0,86,0,0,0,994.33,0,0,0,0,0,0,0,0,0,0,18.69,18.69,0,0,15.29,1001,177.81,13.19,4.69
2024-02-22T07:00:00Z,0.28,0.28,100,16.38,0.023,0,87,0,0,0,994.17,0,0,0,0,0,0,0,0,0,0,18.63,18.63,0,0,14.55,1001,180.19,13.69,4.88
2024-02-22T08:00:00Z,0.3,0.3,100,16,0.031,0,86,0,0,0,993.33,0,0,0,0,0,0,0,0,0,0,18.31,18.31,0,0,14.12,1001,187.69,12.81,4.88
2024-02-22T09:00:00Z,0.3,0.3,100,16,0.034,0,86,0,0,0,992.85,0,0,0,0,0,0,0,0,0,0,18.38,18.38,0,0,14.58,1001,204.63,11.81,4.13
2024-02-22T10:00:00Z,0.33,0.33,100,16,0.029,0,85,0,0,0,993.58,0,0,0,0,0,0,0,0,0,0,18.63,18.63,0,0,15.69,1001,211.81,10.13,3.38
2024-02-22T11:00:00Z,0.33,0.33,100,16.13,0.026,0,85,0,0,0,993.62,0,0,0,0,0,0,0,0,0,0,18.69,18.69,0,0,15.76,1001,210.13,9.63,3.19
2024-02-22T12:00:00Z,0.26,0.26,100,16.31,0.027,0,88,0,0,0,993.32,0,0,0,0,0,0,0,0,0,0,18.31,18.31,0,0,14.15,1001,201.88,7.69,2.88
2024-02-22T13:00:00Z,0.21,0.21,100,16.69,0.026,0,90,0,0,0,993.34,0,0,0,0,0,0,0,0,0,0,18.31,18.31,0,0,14.38,1001,181,5.38,2.31
2024-02-22T14:00:00Z,0.26,0.26,100,16.38,0.041,0,88,0,0,0,994.12,0,0,0,0,0,0,0,0,0,0,18.38,18.38,0,0,15.17,1001,199,8.5,3.5
2024-02-22T15:00:00Z,0.3,0.3,100,16.81,0.05,0,86,0,0,0,993.72,0,0,0,0,0,0,0,0,0,0,19.19,19.19,0,0,15.74,1001,210.19,8.63,3.88
2024-02-22T16:00:00Z,0.38,0.38,100,17.38,0.111,0,83,0,0,0,993.22,0,0,0,0,0,0,0,0,0,0,20.31,20.31,1,2,16,1001,214.5,6.38,4
2024-02-22T17:00:00Z,0.57,0.57,55,17.5,0.308,0,76,0,0,0,992.79,0,0,0,0,0,0,0,0,0,0,22,22,1,4,16,1101,237.13,6.88,3.38
2024-02-22T18:00:00Z,,,4,16.31,0.501,0,56,0,0,0,991.29,0,0,0,0,0,0,0,0,0,0,25.88,25.88,2,6,16,1000,264.81,5.63,2.69
2024-02-22T19:00:00Z,,,0,12.69,0.57,0,38,0,0,0,990.2,0,0,0,0,0,0,0,0,0,0,28.19,27.69,2,6,16,1000,282,7.31,3.31
